timestamp,memory_used_mb,memory_percent
2026-02-10 16:42:51,0,,0
2026-02-10 16:42:54,3,,0
2026-02-10 16:42:55,3,,0
2026-02-10 16:42:56,3,,0
2026-02-10 16:43:01,3,,0
2026-02-10 16:43:01,0,,0
2026-02-10 16:43:05,3,,0
2026-02-10 16:43:06,3,,0
2026-02-10 16:43:06,3,,0
2026-02-10 16:43:11,3,,0
2026-02-10 16:43:12,0,,0
2026-02-10 16:43:15,3,,0
2026-02-10 16:43:16,3,,0
2026-02-10 16:43:16,3,,0
2026-02-10 16:43:21,3,,0
2026-02-10 16:43:22,3,,0
2026-02-10 16:43:26,3,,0
2026-02-10 16:43:27,3,,0
2026-02-10 16:43:32,3,,0
2026-02-10 16:43:32,3,,0
2026-02-10 16:43:37,3,,0
2026-02-10 16:43:37,3,,0
2026-02-10 16:43:42,3,,0
2026-02-10 16:43:43,3,,0
2026-02-10 16:43:47,3,,0
2026-02-10 16:43:47,3,,0
2026-02-10 16:43:52,3,,0
2026-02-10 16:43:53,3,,0
2026-02-10 16:43:57,3,,0
2026-02-10 16:43:58,3,,0
2026-02-10 16:44:03,3,,0
2026-02-10 16:44:03,3,,0
2026-02-10 16:44:08,3,,0
2026-02-10 16:44:08,3,,0
2026-02-10 16:44:13,3,,0
2026-02-10 16:44:14,3,,0
2026-02-10 16:44:18,3,,0
2026-02-10 16:44:18,3,,0
2026-02-10 16:44:23,3,,0
2026-02-10 16:44:24,3,,0
2026-02-10 16:44:28,3,,0
2026-02-10 16:44:29,3,,0
2026-02-10 16:44:34,3,,0
2026-02-10 16:44:35,3,,0
2026-02-10 16:44:39,3,,0
2026-02-10 16:44:39,3,,0
2026-02-10 16:44:44,3,,0
2026-02-10 16:44:45,3,,0
2026-02-10 16:44:49,3,,0
2026-02-10 16:44:50,3,,0
2026-02-10 16:44:54,3,,0
2026-02-10 16:44:55,3,,0
2026-02-10 16:44:59,3,,0
2026-02-10 16:45:00,3,,0
2026-02-10 16:45:05,3,,0
2026-02-10 16:45:06,3,,0
2026-02-10 16:45:10,3,,0
2026-02-10 16:45:10,3,,0
2026-02-10 16:45:15,3,,0
2026-02-10 16:45:16,3,,0
2026-02-10 16:45:20,3,,0
2026-02-10 16:45:21,3,,0
2026-02-10 16:45:25,3,,0
2026-02-10 16:45:26,3,,0
2026-02-10 16:45:30,3,,0
2026-02-10 16:45:31,3,,0
2026-02-10 16:45:36,3,,0
2026-02-10 16:45:37,3,,0
