event,ra,dec,mass_1_source,mass_2_source,chirp_mass_source,luminosity_distance,chi_eff,redshift,geocent_time
GW150914,1.0464100751431176,-1.2624170743949286,33.67735285570857,30.412250161658736,27.659851250009094,476.60717315963427,-0.04190716625792368,0.10133500252669932,1126259462.408332
GW151012,0.9693321289292457,-0.9469295935243268,21.592314412497934,13.159015264867467,15.499266304925913,916.0876191101847,0.06506762087313178,0.1975816656970188,1128678900.4621043
GW151226,3.569360236564157,0.9419367562263359,11.320289677516469,7.7016580493437505,8.812976914345073,493.11108538754945,0.16253995904338994,0.10389621859736288,1135136350.6286304
GW170104,2.1636636013123174,1.3169226383664205,28.315301028541718,19.54023669651648,20.99404741479317,1145.3378007641525,-0.02118195163617309,0.22469142684147542,1167559936.6137822
GW170608,2.124199458457669,0.38518108848175153,9.609004635587814,8.31446490812763,7.938418376299109,326.00415468477405,0.026160643295652986,0.07018548873266421,1180922494.5026145
GW170729,5.68818153045376,-1.2052638686825672,54.56498669016574,28.160953261298193,33.40444554421301,1958.197888116195,0.30710352377230077,0.4138397696698646,1185389807.297017
GW191126_115259,2.1887263126703727,-0.853362184607515,11.075912827141629,8.3920645539534,8.506909204240465,1694.6996126541733,0.2037361745223764,0.31703929936368536,1258804397.6494462
GW191204_171526,0.8145415882235689,-0.7299431249478832,12.011601494371996,8.145610923054758,8.529429144486931,640.3207729543807,0.14761351747391643,0.13248710019410545,1259514944.069851
GW230518_125908,1.7551648840144891,-0.18354571835127964,8.182483770349545,1.4342135660836757,2.7965937640860603,239.19394048470247,0.0004149521448050253,0.05216806809265269,1368449966.149715
GW230601_224134,5.201410259863375,-0.9388814529749178,61.175145157408,44.06350505600622,42.91309182882793,3361.2475025921276,-0.0060438936580488045,0.5686761225392429,1369694512.0709558
GW230605_065343,4.685782715831272,0.4095447589252601,15.350020613956989,11.828022434963907,11.967156789225953,987.1832285604295,0.028331799946292396,0.19686089582412078,1369983241.5087147
GW230606_004305,2.057749890723595,0.7712738644735115,35.218374425845866,26.650091165726455,25.845685113281633,2749.118926122675,-0.0577423310901124,0.47916549222738125,1370047403.8067932
GW230608_205047,0.9498456982159218,1.3157554167793188,49.355334044389096,31.268172062446634,32.608810612375244,3051.013568805269,0.04296558466496314,0.5268057681156819,1370292665.169944
GW230609_064958,1.4772904503105952,-0.6273596242684265,34.16789198510163,25.69456958314388,24.84959602604417,3404.7775289397596,-0.097003263453321,0.5733037438611146,1370328616.2545433
GW230624_113103,1.99463125673138,-1.3742804980972052,25.134529491123665,15.585544973879344,17.316732337852272,1775.4049594252601,0.11577667311118256,0.3351795536002714,1371641481.7257206
GW230627_015337,2.793385329677131,0.6214479151531205,8.239448335386712,5.784621946636546,5.990921889507917,327.73034713983196,0.0011618112845163467,0.07052534699217212,1371866035.8335304
GW230628_231200,2.4044723038123865,1.3180852782478918,31.698009946105905,26.937429048575055,25.08081232562219,2429.3638904127893,-0.0038692859896988785,0.43045122994719326,1372029138.3826034
GW230630_125806,3.1447805043271546,0.9546268813654679,47.56959767007977,32.099613860293,32.44046013102982,4193.570255448075,0.19934299847315584,0.7454592201920104,1372165104.9051876
GW230630_234532,2.390230610694038,1.328928492669729,8.990736893974196,6.3809755798490695,6.929124412757577,1080.4840511781565,-0.06268517714440949,0.23487912307300088,1372203950.4149652
GW230702_185453,1.7668170350178873,0.7940477451830605,34.96199416813274,13.876295156138422,22.178885713508098,2110.7935596363636,0.011181470568785379,0.38443995455673374,1372359311.751932
GW230704_021211,0.71550890036167,-0.5895831397892612,30.601966900848957,19.854111390013678,21.28157148715771,2703.0162522779397,-0.004268240391402278,0.4774620467554781,1372471949.198702
GW230704_212616,5.509565149396266,-0.7472342303564661,84.6226574444459,43.68612986980075,51.575726916359734,5828.060007700107,0.38992242271703137,0.893689902869502,1372541194.7015047
GW230706_104333,6.0756342075662415,0.4254511412453914,15.341631855627641,11.511709003099744,11.443607666700668,2178.450186943962,0.21694833662330842,0.3935525413122386,1372675431.1739745
GW230707_124047,3.157408827201171,-0.9600523308837163,45.51142388739609,35.6168811348179,33.322906095434675,4682.505143547805,-0.010335985098795408,0.745016876543098,1372768865.3278306
GW230708_053705,3.827735113982609,1.355620992222633,28.003311301724004,22.4002196926747,21.292566381206257,3193.316394411296,0.07651540198424311,0.5740552039285742,1372829843.133267
GW230708_230935,4.763968272406738,-1.0122299428831911,62.19699914031318,40.40212119151602,41.975060015876174,3311.325504201275,0.0192054277418664,0.5586132708872256,1372892993.4530528
GW230709_122727,2.974972312484312,0.852736793765847,44.35277091987703,30.32073638301481,30.133493823292838,4109.998367494472,0.06702543201380451,0.67253810149004,1372940865.2128186
GW230712_090405,5.842442873886851,0.5608141441205077,29.902987165733123,10.054237016690372,14.85816936859119,1749.9363870277207,-0.058138183508574026,0.33202327902800044,1373187863.9477713
GW230723_101834,2.3522138184668275,-1.1635350659191,15.390519274155931,10.879586418916773,11.21882883061756,1778.6402492862019,-0.18283054057268905,0.33065802730891136,1374142732.421081
GW230729_082317,2.239074228347348,0.758572236234897,10.779653357518805,8.003448631184124,8.136429789944167,1684.9035975823278,0.0845951552248666,0.3158479517356156,1374654215.1796792
GW230731_215307,3.0568886094216166,0.7724910916053946,9.712362017071161,8.356146060804441,7.689308229710411,1163.56291260811,-0.05734559677688969,0.2276006643142348,1374875605.867567
GW230803_033412,0.8682822693851476,-1.2866338817435163,42.4553602333167,28.43137334597506,29.08276255654027,3718.249956942303,0.025289687361289004,0.6234164180222096,1375068870.3813422
GW230805_034249,1.559390897214789,-0.7116393441106954,30.887508367271035,21.496561156853254,21.55603479666234,2750.4680317895336,0.10138876011820963,0.5420682002432275,1375242187.9450767
GW230806_204041,5.501915148291879,-1.2410913069354637,47.846646455816455,36.251312913285545,34.17357398021025,5265.009948774613,0.11016922906141291,0.8212035742654777,1375389659.9077587
GW230811_032116,1.716968440986479,-0.6431489880655425,34.927830239174085,22.134106139785313,23.01883080938405,2089.449712018639,0.015404258517054625,0.38052724857271936,1375759294.2656603
GW230814_061920,4.814675266304959,1.3468327317706694,66.19244542236096,39.75469118190375,43.33313577441181,3876.6989470883755,0.0073394602754699445,0.6391795483014766,1376029178.4636776
GW230814_230901,3.8998368092459987,-0.11048857310316151,33.21438854134183,28.499949278163534,26.66677256151907,293.0293927508878,-0.025023749107476956,0.06328911748921363,1376089759.8240283
GW230819_171910,1.6857760407157931,1.2185606062420558,63.52936834551434,37.2951960365657,41.79300334177536,3701.38542526906,-0.009641270230331678,0.6263744278908983,1376500768.4636455
GW230820_212515,5.027193851400195,-0.9631504342695637,57.949764587641795,38.052829562367336,38.97047102518966,3214.6470191696626,0.20304591820976148,0.6345340459999529,1376601933.9483106
GW230824_033047,1.6477877089612702,-0.8696771877718437,53.10281652900744,37.68085146796223,34.797099501981116,4448.404665144101,-0.0016726617196743954,0.7158404578654539,1376883065.7153656
GW230825_041334,1.7861116551023695,-1.0499865402019382,40.2436909915037,27.30636396960451,26.86986500263123,4290.5186108046955,0.26952363751368447,0.7009923805728928,1376972032.5146394
GW230831_015414,4.3633388386315675,1.0197821114949766,40.01907297377658,29.798453246350736,28.69174106864486,4000.964330038186,0.016795775605478624,0.6672056809553573,1377482072.074874
GW230904_051013,5.673093401479663,0.6622982042703631,9.549854964538074,7.351646845464088,7.539681625813033,861.9269158649196,0.039090404262468376,0.17537456986435251,1377839431.1445866
GW230914_111401,4.3524671742927215,-0.5613689668968334,58.2287987211772,36.460062599557986,39.43949464431766,2390.971908162503,0.07148146663541832,0.42814079799056665,1378725259.6959589
GW230919_215712,5.981259377848734,0.028266332471892364,26.61170605496833,21.78501479941034,21.08061921552561,1173.4577336913155,0.17379053733136574,0.23033140279521,1379195850.003634
GW230920_071124,5.761129697208318,1.3158955430855008,31.84643084596701,23.890558219646657,23.06756046958416,2521.480057234305,-0.0022925672315150525,0.4700718427473077,1379229102.7430193
GW230922_020344,5.908911086366288,-0.3610940917560959,38.15076681018743,29.146659596775223,29.145390541143215,1667.9962587298737,0.025033894415670832,0.31366453492204616,1379383442.8884044
GW230922_040658,2.157240219514063,-1.0506702083602506,72.9161997840335,49.73669756690601,49.37353692436281,5578.423451254748,0.35828879554019066,0.8878750768918466,1379390836.0521731
GW230924_124453,1.004985628583175,1.3797497496836266,27.83992536726474,23.11509294939543,21.88995219409475,2312.821382570293,0.00935400581351098,0.4142473496640973,1379594711.8536403
GW230927_043729,2.1336033298425034,-1.3212635430259374,34.38196428358805,27.021672673199763,25.377805993745284,3119.6072753606777,-0.0005902849604823013,0.5356366411238378,1379824667.094318
GW230927_153832,5.389945498844567,-0.8555169474020883,22.09906688612916,15.9563966873542,16.029360505953267,1280.2729118492582,0.014082903579863637,0.2480018320018729,1379864330.8959088
GW230928_215827,3.809875422318319,-0.8443869519059078,52.37947718692435,29.402376746646368,33.907334719811516,3868.035385704603,0.4195214035333987,0.6454708291000304,1379973525.1375983
GW230930_110730,1.0447808517961639,-0.8952972262654078,32.46841788753286,23.792748826501914,23.254324167038405,4984.760737694012,0.008942089351704374,0.7831248241005382,1380107268.4206252
GW231001_140220,4.681192682198419,-1.24970266593356,76.42674715980104,38.889472380575114,44.24352798403242,4217.448455421752,-0.02618872358762514,0.6904185010363821,1380204158.6840827
GW231004_232346,4.882138462157589,0.33465032848020604,65.30600939091269,32.98845645730313,38.94527183857459,3642.6344588256966,-0.027276380268348555,0.6068660784264706,1380497044.3082657
GW231005_021030,2.0498901057002272,-0.8368731049634115,77.32513775270199,48.50534245684998,49.41908538350502,6690.748099074211,0.024034807545704195,1.0082798345179766,1380507048.9463243
GW231005_091549,3.620948732619457,0.7583486357769771,28.22765858671125,20.820533920579,20.847919362954688,3473.2531094233964,-0.017919403873211226,0.5842860468392899,1380532567.4587457
GW231008_142521,1.1450153961318437,-0.2233431258872054,42.088989769141875,27.56356132144368,29.239443529511412,2874.944913774767,-0.0040016149019083125,0.503411637813512,1380810339.8288858
GW231014_040532,5.219746952117892,1.0036345318831352,19.630906283144178,15.004979769069143,14.726851994014556,2240.215107842697,0.20964654793638715,0.4060008043915393,1381291551.0002372
