idx,snr_H1,snr_L1,snr_network,chirp_mass,mass1,mass2,distance,inclination
0,2.782991743197304,1.9099117692761824,3.375323096997389,48.97628807252305,85.07108306884766,38.37222671508789,2904.33740234375,0.9489959478378296
1,0.21721168318446088,0.09696221677680383,0.23787094567033296,11.789323608844875,36.58159637451172,5.821262836456299,4908.82373046875,1.4494444131851196
2,3.3833072831235955,1.5906999709646088,3.738595266896909,25.55445056119256,22.136741638183594,39.5787353515625,2884.175048828125,2.256488561630249
3,15.18999879669679,6.706264911553797,16.604519038731222,59.436104974236066,53.48064422607422,88.2484130859375,853.6038208007812,1.9249022006988525
4,11.011931704278942,4.1636297574247045,11.772784403726087,46.27779911079362,36.600337982177734,79.51109313964844,2002.8785400390625,2.611832618713379
5,2.219043899762342,2.6858465984785527,3.483952895725095,31.42755491779256,17.92177391052246,80.67974853515625,650.8596801757812,1.5250078439712524
6,10.15157214593616,8.999435453462564,13.566291148106245,45.41334122884712,61.30683517456055,44.61234664916992,603.6536865234375,1.6914852857589722
7,5.946446973201608,3.5337003167333525,6.917172076331481,39.678604254975475,51.474735260009766,40.47461700439453,2052.654052734375,2.048727035522461
8,0.8158618702747289,0.709143654422167,1.08097886842223,30.394286880356507,15.668923377990723,89.0467300415039,1273.280029296875,1.7845286130905151
9,4.810570730609792,1.956326259703082,5.193149640497901,50.631730856820525,67.9278335571289,50.0302619934082,2647.480224609375,0.8476806282997131
10,3.061035481976403,1.4908156868700335,3.4047715979396154,56.08317338967143,60.85565948486328,68.24346923828125,4816.1787109375,2.908450126647949
11,1.880864060453437,1.7887953719300798,2.595657623135968,52.24003611810019,49.27809143066406,73.66332244873047,2312.541748046875,1.5908095836639404
12,2.7291129795429954,1.2241096062333754,2.991070374160875,33.17915450996094,25.970081329345703,57.69709014892578,4926.29736328125,1.0254511833190918
13,0.9127848679307976,0.3506092870507597,0.9778052399581859,15.020006229440005,7.26688289642334,47.898860931396484,2921.48046875,2.9315433502197266
14,2.802716010553136,1.9096578678718763,3.391461367631341,27.38474839371461,21.162160873413086,48.33720397949219,3666.822998046875,2.056663751602173
15,13.76343799567578,6.265029371098368,15.122262346670784,74.15581054855575,80.75628662109375,89.90335845947266,1689.5157470703125,1.4667167663574219
16,23.600558999070746,10.54122006327036,25.847702131735282,40.96231472203611,28.828632354736328,80.81153106689453,672.0250244140625,0.9093794226646423
17,3.2294369000934107,2.416684445894751,4.033562495203782,11.286109248718454,23.64527702331543,7.560951232910156,1524.3990478515625,0.7995562553405762
18,23.02136625472043,6.643796754358068,23.960871009777573,69.21147875249903,85.23380279541016,74.22856903076172,948.9418334960938,0.6909626722335815
19,4.060046494190648,1.9001052605560367,4.482675265528666,55.051342193886164,48.19252014160156,84.2679214477539,2956.27978515625,0.9825518727302551
20,9.325410928039783,4.857515316357919,10.514691817902015,20.523527921340417,42.43703079223633,13.897380828857422,1277.92138671875,2.5916929244995117
21,2.5613786057326093,1.1648001716465926,2.8137910017932493,53.73968668684308,73.86492156982422,51.91008758544922,4249.044921875,1.3064351081848145
22,1.949512423005684,0.2671714378973174,1.9677345513766873,27.263739664478546,14.627635955810547,75.77564239501953,2692.492431640625,0.9948498010635376
23,11.361983585454313,3.7084971346363718,11.951887800416277,53.422417137757904,42.9817008972168,89.98494720458984,2882.67236328125,3.098677158355713
24,1.5246015290171062,1.0409483759375078,1.846072410185536,23.912427702914787,10.546353340148926,86.47566223144531,4729.044921875,2.752958059310913
25,1.4245142327344202,0.6881183638970992,1.5820074848101555,26.555465443079754,74.31458282470703,14.173510551452637,3656.380859375,1.3340243101119995
26,2.4570372183568687,1.3730774832240902,2.814671147279529,23.69946781117669,75.40061950683594,11.486135482788086,3405.173095703125,0.951883852481842
27,1.2821501137736167,1.018881725608687,1.6376901065308522,24.279562517634318,44.2300910949707,18.26558494567871,3936.273681640625,1.9489535093307495
28,16.51047887047936,6.643784850232066,17.79707250276625,62.08199305669179,76.30015563964844,66.7127914428711,1161.93408203125,1.0880687236785889
29,8.854432322899749,4.236262074545804,9.815645069227338,52.129136091988485,44.805328369140625,81.44921112060547,2328.796875,2.338630199432373
30,18.821044683842832,14.402769641246293,23.69960962400044,52.16409304014065,65.44801330566406,54.94428634643555,880.942138671875,0.7358953952789307
31,4.313641397476113,2.402616434586551,4.937617627739623,29.146719682197375,68.45343017578125,17.818777084350586,2177.222900390625,1.624935269355774
32,7.613045060073185,2.1132821025593884,7.900912373371987,28.96013817896726,33.837440490722656,32.707008361816406,574.485107421875,1.307837724685669
33,5.809617001711316,2.7810120581515867,6.440937647125432,27.078981747944233,87.37799072265625,12.987116813659668,699.71923828125,1.8570194244384766
34,12.303181799770131,7.354613610404996,14.333827951965567,41.03866826982799,28.089998245239258,83.74604797363281,1314.6937255859375,2.6660525798797607
35,1.6671201096946486,1.2127882082991235,2.0615879070118974,36.06155745469549,26.704326629638672,66.93338012695312,4052.746826171875,2.011648654937744
36,1.104701729316888,0.9738996774505256,1.4727004082616262,18.857926245874506,36.287410736083984,13.54930591583252,4213.95458984375,1.2229127883911133
37,59.16379816094651,37.774691096161376,70.19460307060388,58.938368556353694,72.9873275756836,62.87004852294922,354.9502868652344,2.4058730602264404
38,1.514143024531311,0.6567483415605391,1.650438572888838,27.930205607719035,77.29061126708984,15.035028457641602,2295.152099609375,0.7311745882034302
39,9.13515539805205,2.177127840160217,9.391003661960747,56.51254281761825,60.540435791015625,69.6762466430664,1834.66748046875,1.0486608743667603
40,8.457954056219373,3.4834968764285903,9.147225661653128,69.56043242578596,83.57874298095703,76.42134857177734,3718.003173828125,2.7380833625793457
41,5.132970583661023,3.508842718313034,6.217665497161116,56.42943233414293,64.70732879638672,64.93370056152344,906.6409912109375,1.8082441091537476
42,2.8490299730993454,2.3724300943483962,3.7074784342175744,52.76394787906001,60.10586166381836,61.11893844604492,707.6602783203125,1.311422348022461
43,1.7522418732949037,0.8353547435248507,1.9411772536421044,24.86436420448575,54.55588150024414,16.047039031982422,4492.37353515625,2.279299736022949
44,2.4904444741928207,1.335649023114028,2.8259992908673937,65.44320916946636,76.75505828857422,73.63285064697266,4526.76318359375,1.3234237432479858
45,9.02813950418694,3.4258547846900727,9.656282095757387,50.927395878847136,60.866764068603516,56.24322509765625,2141.89208984375,1.9847526550292969
46,1.6754555184481201,0.9854507499794659,1.943775803670102,47.951230435371436,41.03469467163086,75.2903823852539,3367.639892578125,1.3143867254257202
47,14.210275667753107,7.540087670170426,16.086791371413756,19.182313235931858,57.40169906616211,9.73250961303711,504.1128845214844,0.3180472254753113
48,0.81559321630217,0.43576603221950777,0.9247076993917869,29.573102195508707,15.283929824829102,86.35286712646484,3920.09619140625,2.259870767593384
49,6.857635829566294,5.054617480068399,8.519174082078873,31.280865273761584,21.528236389160156,63.40989685058594,1914.015869140625,0.32099997997283936
50,1.6067997259216835,0.8218890715588018,1.8048010985063663,25.743099248286754,51.79362106323242,17.826677322387695,4660.9560546875,0.4629541337490082
51,2.2964433678114653,1.3391675613332688,2.6583870859776155,39.64256457526873,39.78145980834961,52.32147979736328,3860.14306640625,0.8463906049728394
52,23.68121010725381,11.564614988462708,26.35412741821054,16.318699661304322,19.40283203125,18.114255905151367,387.34100341796875,0.9924217462539673
53,5.210283885807252,3.5212786899157082,6.288597759656536,26.05851060646423,65.33673858642578,15.134649276733398,791.3792114257812,2.3629541397094727
54,2.1258484663584687,1.7834377437861026,2.774866102693879,61.611912280759206,78.25487518310547,64.13401794433594,2916.6533203125,1.8318095207214355
55,2.775266528627294,1.2046733843597006,3.0254491018530865,18.99538965610689,15.736628532409668,30.941356658935547,2863.446044921875,0.9963164925575256
56,0.5182383471581237,0.46753994905166496,0.6979717676413691,16.42466344530026,18.616708755493164,19.121307373046875,3682.68212890625,1.7851959466934204
57,1.0290628494204914,0.9195308488862486,1.3800388871734326,30.406487264127648,20.928987503051758,61.62839126586914,3836.061767578125,1.584676742553711
58,2.8556244905475623,1.156643175592469,3.0809762522063773,34.48966639310291,60.53725814819336,26.78103256225586,3596.5263671875,0.9398201107978821
59,4.899765860451013,3.0047175537504,5.747698066622589,50.504407611746124,70.8630599975586,47.86015701293945,3785.99609375,0.866840660572052
60,0.3277359738987139,0.4065488969532687,0.5222000327472778,15.588121585325554,37.78461456298828,9.295829772949219,4488.26025390625,1.366278052330017
61,1.5276194554816025,0.4036951298515386,1.580060428791177,12.402872447448575,9.533642768859863,22.029523849487305,3272.475341796875,2.230074644088745
62,15.591885296829641,14.052592675309693,20.99005116734259,46.92675308595643,65.51397705078125,44.676788330078125,738.7697143554688,0.9097610116004944
63,39.67255185623197,19.901216835805013,44.38434185983998,54.425956200678215,52.479896545410156,74.9505615234375,903.6363525390625,0.508293628692627
64,33.447884574826915,22.553618727909196,40.34137702477248,34.250789987786845,27.444364547729492,57.96508026123047,460.7372741699219,1.8268376588821411
65,3.247212627621355,1.8295264708435879,3.7271379041432016,62.69889916672823,68.27752685546875,76.01586151123047,3170.59326171875,1.6094759702682495
66,4.14423050583379,4.078448718142701,5.814498295812222,28.710714040666122,53.61233901977539,21.153181076049805,2552.008544921875,2.9534544944763184
67,0.4220469475052093,0.29120641982108647,0.5127619377873905,12.326786886493778,6.352783679962158,36.12869644165039,3193.92626953125,0.6884630918502808
68,7.726827008993993,5.129607397098862,9.274520347451421,32.3761449954117,70.21612548828125,21.091495513916016,1600.1644287109375,0.45872196555137634
69,4.839637372757586,2.263443488373295,5.342777023688282,53.568004283116956,49.60329818725586,77.07183074951172,4439.52734375,1.1196261644363403
70,18.531756458470703,11.066833942922239,21.584735600796375,35.21475761110389,31.093212127685547,53.39090347290039,435.9725646972656,1.193275809288025
71,3.580906966960267,1.5206388771462074,3.89040323112053,54.83971687445016,89.42724609375,45.387306213378906,4196.3671875,1.1778764724731445
72,1.993857435860455,2.5336516711233816,3.2241058086114878,32.46819581024016,71.76361083984375,20.831575393676758,1495.21044921875,0.8925027847290039
73,33.56841815704778,21.35752392358849,39.786712929231406,59.19198821627411,56.2454948425293,82.8093032836914,449.4719543457031,1.7985423803329468
74,3.9444905678987823,1.9353643311165658,4.393704693581571,57.471734637721035,65.7999038696289,66.23633575439453,4572.28466796875,0.528610110282898
75,1.5984043455005772,3.0134080934379868,3.41108850505417,28.10447816132025,23.64293098449707,44.988155364990234,2829.188720703125,2.7774665355682373
76,2.480138610556123,1.5909765002497314,2.94657322188303,24.488470140065292,33.19641876220703,23.962974548339844,4708.65478515625,0.37204813957214355
77,20.999738858867318,9.48696146664022,23.04325215784739,58.10620175036807,73.09649658203125,61.046966552734375,877.7337036132812,2.562385320663452
78,4.687912327885353,3.2189894211247463,5.686687514472068,21.91541920424099,12.808505058288574,54.5076789855957,1111.68408203125,2.1120312213897705
79,0.4775220263008881,0.4213377582727478,0.6368302694979334,22.413979589548568,41.01812744140625,16.797195434570312,4772.5283203125,1.7574015855789185
80,5.805704624383494,2.6244529016336737,6.371338887430278,63.60595072386742,67.7925796508789,78.83505249023438,3908.8515625,2.5136711597442627
81,2.8893097529676703,1.6469960129033336,3.3257640798940593,40.18081718935809,43.485530853271484,49.02490234375,3838.228271484375,2.1963162422180176
82,26.615690555816023,11.817263617504135,29.12117276430572,28.634039360172952,15.797117233276367,76.73431396484375,430.88275146484375,1.9623003005981445
83,0.8180631216397664,0.4497070955951108,0.9335222240608894,26.22377998093196,70.69308471679688,14.401785850524902,2751.10791015625,1.7030918598175049
84,14.74268869149022,12.279388653807274,19.186720813245927,30.710706269098413,31.0848331451416,40.16666793823242,1000.272705078125,2.664841651916504
